карменсита	1
клоун	2 102898 222768 338866 373762 434695 1213866 1680136 1780798 1921043 2065945 2145939 4585660 5151028
и	2 7 76 147 208 384 399 410 576 935 1340 1737 2143 2208 2221 2354 2813 3863 4771 5198 5310 5994 6241
его	2 1459 1680 1737 4091 4099 4100 4101 4102 4108 5489 8112 8879 54248 65447 75140 97108 103428 106792 115627 117377 124718 128915
собаки	2 384 105928 107023 115509 160289 166960 269743 332809 422618 423277 492492 756729 782702 808232 1272051 1296458 2039369 3647110 3759438 5088794 5209258 5424464
бедный	3 372166 372166 4229938
пьеро	3
полная	4 120883 384783 1037033 2061774 2396421
кружка	4
пива	4 107494 277703
сцена	5 229300 392728 433537 765169 2201890
в	5 13 26 27 30 41 75 132 184 211 242 248 272 273 420 465 684 966 1338 1459 2851 3758 4150
кузне	5
китайский	6 71315 118852 135672 163949 2278392 3069758 4647788
опиумный	6
притон	6
корбетт	7
кортни	7 138563 1491299 1821879
перед	7 3214 102220 102394 106880 107688 110882 112471 162879 179940 205480 214995 251091 278102 381681 386955 434067 814380 870195 892425 1292594 1550321 2006040
кинематографом	7
чих	8
записанный	8
на	8 12 13 31 273 414 417 797 1265 3923 4288 5077 6122 7144 7433 7764 8100 9611 9973 11144 11293 11500 11828
кинетоскоп	8
эдисона	8
выход	10 76 109758 119360 170260 183959 246608 290795 332804 334034 402336 482957 493402 1587707 1925393 2095646 2182400 4517192 5187930 6033576 7876008
рабочих	10
с	10 18 357 359 546 553 1256 1973 7581 8499 8827 13427 36723 55404 56687 71554 73179 79835 80801 87022 91635 92400 92404
фабрики	10 3182596
люмьер	10 113718 151416 412596
акробатическая	11
смесь	11 4817690
прибытие	12 13 114178 115571 122961 2543164
поезда	12 439 487 521 114178 223880 301414 885470 1111422 1800400 2763296
вокзал	12 140888 439099 3399896
города	12 3839 21749 111641 116014 181547 250125 257076 262719 285446 296374 296415 298810 299150 362289 366287 373280 434382 478855 871924 981587 1183908 1337363
ласьота	12 221807
делегатов	13
фотоконгресс	13
лионе	13 27
политый	14
поливальщик	14
вoкруг	15
кабинки	15
лодка	16 82096 143050 143050 210149 940502 2965842
